problem,crossoverProb,mutationProb,nMutatedGenes,maxISteps,execution,nGenerations,nFitnessEvaluations,bestFitness
./problems/s200, 0.600000, 0.005000, 1, 1000000, 0, -1, 1012, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 1, -1, 20668, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 2, -1, 33436, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 3, -1, 6005, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 4, -1, 441, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 5, -1, 12113, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 6, -1, 1583, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 7, -1, 36999, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 8, -1, 3076, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 9, -1, 2742, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 10, -1, 22658, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 11, -1, 3599, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 12, -1, 406, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 13, -1, 1243, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 14, -1, 5973, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 15, -1, 15017, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 16, -1, 2997, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 17, -1, 4277, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 18, -1, 11135, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 19, -1, 3329, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 20, -1, 13514, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 21, -1, 29729, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 22, -1, 2424, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 23, -1, 10481, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 24, -1, 1022, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 25, -1, 1664, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 26, -1, 11621, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 27, -1, 7200, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 28, -1, 3850, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 29, -1, 5365, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 30, -1, 11478, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 31, -1, 621, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 32, -1, 1660, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 33, -1, 1328, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 34, -1, 5528, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 35, -1, 2177, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 36, -1, 3812, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 37, -1, 2064, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 38, -1, 6678, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 39, -1, 1966, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 40, -1, 2865, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 41, -1, 788, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 42, -1, 6215, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 43, -1, 5059, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 44, -1, 35296, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 45, -1, 224, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 46, -1, 5706, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 47, -1, 3428, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 48, -1, 16069, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 49, -1, 13309, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 50, -1, 6916, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 51, -1, 4869, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 52, -1, 22204, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 53, -1, 5166, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 54, -1, 7520, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 55, -1, 4163, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 56, -1, 1815, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 57, -1, 667, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 58, -1, 3423, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 59, -1, 523, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 60, -1, 3107, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 61, -1, 7600, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 62, -1, 12498, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 63, -1, 1170, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 64, -1, 26077, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 65, -1, 20551, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 66, -1, 10797, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 67, -1, 12451, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 68, -1, 1094, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 69, -1, 986, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 70, -1, 429, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 71, -1, 977, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 72, -1, 7040, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 73, -1, 9847, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 74, -1, 15939, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 75, -1, 1335, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 76, -1, 1048, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 77, -1, 2018, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 78, -1, 253, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 79, -1, 802, 43959.000000
./problems/s200, 0.600000, 0.005000, 1, 1000000, 80, -1, 2059, 43959.000000
