problem,crossoverProb,mutationProb,nMutatedGenes,maxISteps,execution,nGenerations,nFitnessEvaluations,bestFitness
./problems/s300, 0.600000, 0.003333, 1, 1000000, 0, -1, 8103, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 1, -1, 201, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 2, -1, 839, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 3, -1, 10100, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 4, -1, 3264, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 5, -1, 7134, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 6, -1, 1221, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 7, -1, 1611, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 8, -1, 1796, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 9, -1, 564, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 10, -1, 1932, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 11, -1, 1425, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 12, -1, 41923, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 13, -1, 4604, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 14, -1, 2058, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 15, -1, 19568, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 16, -1, 3479, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 17, -1, 514, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 18, -1, 5278, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 19, -1, 1934, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 20, -1, 640, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 21, -1, 2006, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 22, -1, 1712, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 23, -1, 4257, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 24, -1, 939, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 25, -1, 1193, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 26, -1, 1334, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 27, -1, 4881, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 28, -1, 11121, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 29, -1, 7074, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 30, -1, 8759, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 31, -1, 10491, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 32, -1, 705, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 33, -1, 681, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 34, -1, 3441, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 35, -1, 947, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 36, -1, 1147, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 37, -1, 180, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 38, -1, 3654, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 39, -1, 9582, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 40, -1, 4628, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 41, -1, 18768, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 42, -1, 2184, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 43, -1, 3515, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 44, -1, 6808, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 45, -1, 1147, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 46, -1, 414, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 47, -1, 719, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 48, -1, 14192, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 49, -1, 10109, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 50, -1, 1704, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 51, -1, 6105, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 52, -1, 1142, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 53, -1, 1344, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 54, -1, 8555, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 55, -1, 13834, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 56, -1, 764, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 57, -1, 3889, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 58, -1, 2256, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 59, -1, 687, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 60, -1, 1287, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 61, -1, 4573, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 62, -1, 12665, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 63, -1, 7755, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 64, -1, 603, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 65, -1, 1939, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 66, -1, 1044, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 67, -1, 7938, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 68, -1, 362, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 69, -1, 4009, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 70, -1, 318, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 71, -1, 4315, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 72, -1, 7554, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 73, -1, 22355, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 74, -1, 4563, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 75, -1, 2045, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 76, -1, 2568, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 77, -1, 1415, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 78, -1, 243, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 79, -1, 21522, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 80, -1, 461, 78682.000000
./problems/s300, 0.600000, 0.003333, 1, 1000000, 81, -1, 6500, 78682.000000
