problem,crossoverProb,mutationProb,nMutatedGenes,maxISteps,execution,nGenerations,nFitnessEvaluations,bestFitness
./problems/s100, 0.600000, 0.010000, 1, 500, 0, -1, 600, 19560.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 1, -1, 600, 19556.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 2, -1, 600, 19567.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 3, -1, 600, 19568.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 4, -1, 600, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 5, -1, 600, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 6, -1, 600, 19563.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 7, -1, 600, 19565.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 8, -1, 600, 19566.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 9, -1, 600, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 10, -1, 600, 19559.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 11, -1, 600, 19565.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 12, -1, 600, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 13, -1, 600, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 14, -1, 600, 19560.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 15, -1, 600, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 16, -1, 600, 19567.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 17, -1, 600, 19569.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 18, -1, 600, 19566.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 19, -1, 600, 19552.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 20, -1, 600, 19568.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 21, -1, 600, 19562.000000
./problems/s100, 0.600000, 0.010000, 1, 500, 22, -1, 600, 19564.000000
